title,review,vote
Waiting to Exhale,A pleasant if undemanding piece of work that is diverting to sit through though it won't stand up to any kind of rigorous examination.,fresh
Waiting to Exhale,"You want the movie to stomp and rejoice and cry like a fool; instead it meanders and lollygags, occasionally flaring up, then sputtering again.",rotten
Waiting to Exhale,This sister-celebratory adaptation of Terry McMillan's best-selling book is frequently delightful.,fresh
Waiting to Exhale,"The male-bashing taken to an extreme in Waiting to Exhale is starting to seem a little like crack for the female psyche, exhilarating in the short term but ultimately crippling and dangerous.",rotten
Waiting to Exhale,"Whitaker clumsily mishandles what should be a 'you go, girl!' tour de force.",fresh
Waiting to Exhale,"For all the pleasure there is in seeing effective, great-looking black women grappling with major life issues on screen, Waiting to Exhale is an uneven piece.",rotten
Waiting to Exhale,"With the exception of Bernadine, I never felt anything for the women populating this film, as they failed to capture my interest or sympathy.",rotten
Waiting to Exhale,"An escapist fantasy that women in the audience can enjoy by musing, 'I wish I had her problems' - and her car, house, wardrobe, figure and men, even wrong men.",fresh
Father of the Bride Part II,"Martin, Keaton and cinematographer William A. Fraker put this retro fluff over better than expected early on, but hour 2 is only for those who don't want their equilibriums rattled by surprises.",rotten
Heat,"When Pacino's loud, bruised cop and De Niro's canny crook stare at each other, you can read something spent and weary in their eyes and voices. The heat is hell. So are their jobs -- but somebody's got to do them.",fresh
Heat,"The taciturn De Niro and the braying Pacino share a flawless scene over a cup of coffee, but the real honors go to Val Kilmer and Ashley Judd as a warring, loving couple.",fresh
Heat,"So why doesn't Heat, with its elaborately staged, tautly edited robberies, its killer cast, edgy score and elegant cinematography, offer more satisfaction? It's the script, stupid.",rotten
Heat,"Just when it seemed that the only hope for crime movies lay in the postmodernist artifice of films like Pulp Fiction, Mann reinvests the genre with brooding, modernist conviction. This one sticks to your gut.",rotten
Heat,"There's nothing really new in this lengthy 1995 thriller by writer-director Michael Mann about cops and robbers in Los Angeles, but it has craft, pacing, and an overall sense of proportion, three pretty rare classic virtues nowadays.",fresh
Heat,"An odd though often entertaining blend of The Asphalt Jungle and Oprah, a traditional cops-and-robbers story weirdly fitted out with long, earnest discussions of interpersonal relationships.",fresh
Heat,"There isn't much going on at this party other than what the actors bring to it. But fortunately, Mann has invited some exceptional ones.",fresh
Heat,Heat becomes consistently more interesting as it forges on toward the 180-minute mark.,fresh
Heat,Heat occupies an exalted position among the countless contemporary crime films.,fresh
Heat,Robert De Niro's last great role before he devoted himself to self-parody.,fresh
Heat,"This is simply the best American crime movie -- and indeed, one of the finest movies, period -- in over a decade.",fresh
Heat,"As Heat progresses, its sensational looks pale beside storytelling weaknesses that expose the more soulless aspects of this cat-and-mouse crime tale.",rotten
Heat,"Michael Mann and a superlative cast have taken a classic heist movie rife with familiar genre elements and turned it into a sleek, accomplished piece of work, meticulously controlled and completely involving.",fresh
Heat,"All the squealing tires, flying bullets and falling bodies cannot save Heat from drowning in its own banalities.",rotten
Heat,Michael Mann's writing and direction elevate this material. It's not just an action picture.,fresh
Heat,... a colossal disappointment.,rotten
Heat,Heat generates lots of energy but gives off little light.,fresh
Heat,Boosters and touts use the term 'major movie' so often that it's more likely to generate yawns than excitement at this point. Back to basics. Heat is a major movie. With major stars. Doing major acting.,fresh
Heat,"This is the first time De Niro and Pacino have acted together, and each gives a strong, watertight performance.",fresh
Heat,The cop/ crime stuff that makes up the bulk of the movie is well thought out and well directed.,fresh
Sabrina,"This is never less than glittering entertainment, but somehow a certain measure of lead has found its way into the formula.",fresh
Sabrina,"Script is long on glibly quipping dialog, dropped with a seemingly casual air, and broadly played situations. The splendid trouping delivers them style. Leavening the chuckles are tugs at the heart.",fresh
Sabrina,Wilder's tastelessness now seems his major artistic strength.,fresh
Sabrina,"It's a Cinderella story that gets turned on its head, a satire about breaking down class and emotional barriers, and a confrontation between New World callousness and Old World humanity.",fresh
Sabrina,"Hampered by an unimaginative script ... nevertheless manages to be a thoroughly charming, delightfully romantic variation of the Cinderella story.",fresh
Sabrina,"It is a story as light as a feather and as old as yesterday's news, as transparent as a society column item and as smug as a foreign-made car. But Mr. Wilder...has made it into a commentary as crisp as a screed in a smart magazine.",fresh
Tom and Huck,A joyless lump.,rotten
Sudden Death,"Reuniting Hyams and Van Damme, director and star of Timecop, this spectacular nail-biter exploits their combined, if limited, abilities to the full.",fresh
Sudden Death,"Offers above-average pyrotechnics, a body count that steadily mounts, and plenty of hand-to-hand combat.",fresh
Sudden Death,Sudden Death is one of the best action thrillers of 1995. It's also the film Jean-Claude Van Damme has been building up to for 10 years.,fresh
Sudden Death,"Despite the elaborate stunts, go-go-go direction from Peter Hyams, plus butt-kicking and surprise goalie action from Van Damme, Death deserves the hockey-puck booby prize for...getting its jollies by putting kids in jeopardy.",rotten
Sudden Death,"A treat for Jean-Claude Van Damme fans, a superior action thriller loaded with jaw-dropping stunts and special effects, and strong in production values.",fresh
Sudden Death,"Sudden Death isn't about common sense. It's about the manipulation of action and special-effects sequences to create a thriller effect, and at that it's pretty good.",fresh
Sudden Death,"Though the climactic duel atop the arena roof is patently absurd, it's also exciting as events go into sudden-death overtime, just like the game being played below.",fresh
Sudden Death,"Van Damme races against time, trying to thwart Boothe and defuse all the bombs. But in the hands of director Peter Hyams, these are just banal action-movie chores.",rotten
Sudden Death,"About the best thing that can be said about this movie is that the action scenes, directed by Peter Hyams, are choreographed with flair. Unfortunately, the material connecting them is worthless.",rotten
GoldenEye,"Brosnan, however, looks set to stay. He'll never recapture the amused cool of the young Sean Connery, but he does overcome the handicap of looking like a humorless male model.",fresh
GoldenEye,"I don't know whether the Bond series has a future, but if Xenia Onatopp ever returns to try for world domination, he may finally get a battle worth fighting.",rotten
GoldenEye,"There's something a mite pathetic about our culture still clinging to 007, but it's hard to deny that this is one of the most entertaining entries in the Bond cycle.",fresh
GoldenEye,"Richard Kiel, you are missed.",rotten
GoldenEye,"Among the better of the 17 Bonds and, perhaps more important for today's audience, a dynamic action entry in its own right, this first 007 adventure in six years breathes fresh creative and commercial life into the 33-year-old series.",fresh
GoldenEye,Director Campbell keeps matters bowling along and even manages to recapture something of the look of the earlier films.,fresh
GoldenEye,Suffers the blahs.,rotten
GoldenEye,"Supercharged with spectacular, thundering, brain-numbing fun.",fresh
GoldenEye,"They have given James a new car here, but it's the same old vanity plate, the one that should read: Je Me Souviens.",rotten
GoldenEye,"A reasonable facsimile more than any kind of original, and it's hard not to feel a certain weariness while watching it unfold.",rotten
GoldenEye,It's BS -- Babes and Stunts -- and that's where GoldenEye excels.,fresh
GoldenEye,Directed with top-dollar proficiency (and some real wit).,fresh
GoldenEye,Perhaps the best entry in the series since The Spy Who Loved Me.,fresh
GoldenEye,"Watching the film, I got caught up in the special effects and the neat stunts, and I observed with a certain satisfaction Bond's belated entry into a more modern world.",fresh
The American President,"Part romantic comedy, part Capra-corny political drama, this movie exudes so much sympathy, it sweats.",fresh
The American President,"With great looks, a dandy supporting cast, a zinger-filled screenplay by Aaron Sorkin and Mr. Douglas twinkling merrily in the Oval Office, The American President is sunny enough to make the real Presidency pale by comparison.",fresh
The American President,Genial and entertaining if not notably inspired.,fresh
The American President,Genial middlebrow fare that coasts a long way on the charm of its two stars.,fresh
The American President,As bustling and impassioned as the best Sturges and Capra movies.,fresh
The American President,"Neither bad nor unwatchable, The American President is nevertheless the second straight disappointment from director Rob Reiner.",rotten
The American President,"You can't dislike this movie, but you won't be swept away by it either.",fresh
The American President,The American President will make you laugh and make you smile. But it probably won't make you change your vote.,fresh
The American President,"Apart from its too-obvious political bias, The American President has romance in its heart, smarts in abundance and class to spare.",fresh
The American President,Great entertainment.,fresh
The American President,A well-modulated charmer.,fresh
The American President,The American President becomes a pretty darn entertaining and affecting movie after its first simpering 20 minutes.,fresh
The American President,Frothy.,fresh
The American President,"'Capraesque' has inevitably been affixed to The American President, but that phrase, with its implications of facile hokum, doesn't do the film justice.",fresh
The American President,Painless fun.,fresh
The American President,A super cast injects it with Teddy Roosevelt vitality.,fresh
The American President,"When it comes right down to it, high office does not guarantee high comedy.",rotten
The American President,"The image of a chief executive as moonstruck single guy taps something buoyant and touching in our collective democratic imagination. And Douglas, wearing a fast-break smile in place of his usual frown, strikes a tender rapport with Bening...",fresh
Dracula: Dead and Loving It,Either this is the lamest Mel Brooks comedy ever or it's too close to other contenders to make much difference.,rotten
Dracula: Dead and Loving It,"The only real sparks are set off by MacNicol as Renfield, the solicitor who develops a taste for flies and spiders after being bitten by Dracula.",rotten
Dracula: Dead and Loving It,"Brooks, as Van Helsing, is one of the more successful aspects, but he hasn't imbued in his stock company a similar ability to rise above their underwritten roles.",rotten
Dracula: Dead and Loving It,Slight but amusing.,fresh
Dracula: Dead and Loving It,"Not to venture forth some sort of radical idea, but aren't comedies supposed to have jokes?",rotten
Dracula: Dead and Loving It,It's a toothless parody that misses more often than it hits.,rotten
Dracula: Dead and Loving It,"This time, unfortunately, he's sucking on a dry vein.",rotten
Dracula: Dead and Loving It,"If any movie proves that Mel Brooks' genius for skewering creaky genres has evaporated, it's this anemic attempt to draw new blood from low-flying vampire high jinks.",rotten
Dracula: Dead and Loving It,"Dracula is anemic and mediocre, with only one or two moments to remind you of the former, funnier Brooks.",rotten
Dracula: Dead and Loving It,"Nielsen makes a dapper and calmly inept Dracula, but it's Brooks' irrepressible and oblivious Van Helsing who's the main attraction.",fresh
Balto,"The love story is pure mush, not helped by the bland voice work done by Kevin Bacon as Balto and Bridget Fonda as dainty husky Jenna.",rotten
Nixon,"As wayward and self-regarding as its subject, the film long overstays its welcome.",rotten
Nixon,"What it finally adds up to is a huge mixed bag of waxworks and daring, a film that is furiously ambitious even when it goes flat, and startling even when it settles for eerie, movie-of-the-week mimicry.",fresh
Nixon,"Without question, Nixon dwarfs everything in the American cinema since Schindler's List.",fresh
Nixon,"Nixon starts, like a horror movie, on a dark and stormy night, with the president prowling around a room of the White House like Dracula in his lair.",fresh
Nixon,Nixon far overstays its welcome with an increasingly tedious final hour devoted largely to slogging through the minutiae of Watergate.,rotten
Nixon,"Factual or not, there's no denying that Nixon has moments when it is nothing short of compelling.",fresh
Nixon,There's no compelling structure or viewpoint to hold the picture together.,rotten
Nixon,The problem here isn't accuracy. It's absurdity.,rotten
Nixon,"Thoughts of Hamlet, Macbeth and King Lear come to mind; here, again, is a ruler destroyed by his fatal flaws. There's something almost majestic about the process: As Nixon goes down in this film, there is no gloating, but a watery sigh, as of a great ship",fresh
Nixon,"Thoughtful, well-researched and carefully modulated, the film also marks director Oliver Stone's coming of age.",fresh
Nixon,You will not be bored.,fresh
Nixon,The picture is a case study.,fresh
Nixon,Casting Anthony Hopkins was a stroke of unexpected genius.,fresh
Nixon,"Stone's no Shakespeare, and neither are his screenwriters.",rotten
Nixon,Joan Allen goes beyond her chilling physical resemblance to Pat Nixon toward serious Oscar worthiness.,fresh
Nixon,I never felt that I was seeing the darkness reaching out to the darkness as Nixon was once described.,rotten
Nixon,"Real life, if it's real Nixon, is more dramatic than an Oliver Stone movie.",rotten
Cutthroat Island,"What seemed like a dubious proposition on paper plays even more dubiously onscreen, as ""Cutthroat Island"" strenuously but vainly attempts to revive the thrills of old-fashioned pirate pictures.",rotten
Cutthroat Island,"In this $90m revisionist swashbuckler, we get Geena Davis doing the all-action honours, and a hotchpotch script that seems to think pirate movies are so funny in themselves the need for more humour is superfluous.",rotten
Cutthroat Island,"t's not possible to believe that Ms. Davis is the highly respected captain of a pirate ship, and it's not even fun to try.",rotten
Cutthroat Island,"If the sight of half-naked, tattooed sailors firing cannons at each other shivers your timbers, climb aboard. Even passable pirate movies don't sail by every day.",fresh
Cutthroat Island,It takes a two-hour act of will to keep facing the screen during this moribund movie.,rotten
Casino,"[Stone] seems to be trying to enter a more passionate movie, where a neurotic gold digger could at least have a good time. By the end of Casino, for all its craftsmanly bravura, you may want to join her.",fresh
Casino,"So long as Casino stays focused on the excesses -- of language, of violence, of ambition -- in the life-styles of the rich and infamous, it remains a smart, knowing, if often repetitive, spectacle.",fresh
Casino,Simultaneously quite watchable and passionless.,rotten
Casino,"Martin Scorsese's intimate epic about money, sex and brute force is a grandly conceived study of what happens to goodfellas from the mean streets when they outstrip their wildest dreams and achieve the pinnacle of wealth and power.",fresh
Casino,"It's not the actors' fault that no one is able to break through the film's gorgeous but chilly surface. You watch Casino with respect and appreciation, reveling in its documentary sense of detail.",rotten
Casino,"Scorsese may be flailing here, but Scorsese flailing is more formidable than most directors at the top of their form.",rotten
Casino,"The result, sadly, is that contradiction in terms, a dull Scorsese movie.",rotten
Casino,"Of all the bravura visual effects in Martin Scorsese's dazzlingly stylish Casino, it's a glimpse of ordinary people that delivers the greatest jolt.",fresh
Casino,"It's an ambitious film, but also a scattered, unfocused one.",rotten
Casino,"Visually impressive, splendidly performed, thematically significant, this is a movie in full possession of every key cinematic asset except one -- a solid script.",fresh
Casino,[A] Vegas masterpiece.,fresh
Casino,"Martin Scorsese is a master filmmaker, so skilled in the manipulation of imagery he might be the most proficient of active American directors.",fresh
Casino,"After coming out gangbusters in its first and finest hour, the 180-minute movie loses all its chips in the remaining two.",rotten
Casino,Martin Scorsese's fascinating new film Casino knows a lot about the Mafia's relationship with Las Vegas.,fresh
Casino,"In every way -- from the fantastic sets, rich dialogue, and unapologetic violence to the well-portrayed characters and themes of loyalty and betrayal -- Casino is pure Scorsese.",fresh
Casino,"Whether you find it exhilarating, expendable or exhausting -- and you will find it exhausting -- Martin Scorsese's Casino is the spectacular last word on urban sprawl.",fresh
Sense and Sensibility,Thompson's script manages the neat trick of preserving the necessary niceties and decorum of civilized behavior of the time while still cutting to the dramatic quick.,fresh
Sense and Sensibility,I can't say I remembered this 1995 feature too clearly a couple of days later; but I certainly had a good time as I watched it.,fresh
Sense and Sensibility,Thompson and Winslet give fine performances ably supported by the rest of the ensemble.,fresh
Sense and Sensibility,We need no further proof that this material is ageless.,fresh
Sense and Sensibility,"The sensibility may be a bit off, but there is more than enough sense involved in this mid-Atlantic Austen to make up the difference.",fresh
Sense and Sensibility,The film is packed with pleasing performances by stage-trained actors.,fresh
Sense and Sensibility,Told with deft skill and a pleasantly humorous romantic touch.,fresh
Sense and Sensibility,It's bliss.,fresh
Sense and Sensibility,"A triumph for Taiwan's most famous director, Ang Lee.",fresh
Sense and Sensibility,Thompson's script hits its peak by keeping Austen's voice yet finding the satirical smirk behind it.,fresh
Sense and Sensibility,"Sense and Sensibility is funny, expansive, and a delight to spend company with.",fresh
Sense and Sensibility,"The movie is good fun, boasting a dozen vivid characters and two that moviegoers will take to heart.",fresh
Sense and Sensibility,"Sense and Sensibility is an enjoyable film, and yet it left me somehow unsatisfied.",rotten
Sense and Sensibility,Demonstrates how little humankind has evolved in matters of the heart.,none
Sense and Sensibility,"An exuberant, well- crafted film that gets the audience involved on a gut level.",fresh
Four Rooms,"The results are mainly awful, and even Roth got saddled with a mannered part that he can't comfortably play.",rotten
Four Rooms,"Four of the hottest indie directors--Anders, Rockwell, Tarantino, and Rodrigues--miss a unique opportunity to display their idiosyncratic talents resulting in a tedious anthology in which 2 segments are inept, one barely decent, and one OK (guess whose)",rotten
Four Rooms,They should have called this One Room and released it as a Rodriguez short.,rotten
Four Rooms,"The less said about this career-denting fiasco, the better.",rotten
Four Rooms,Sounds better than it is.,rotten
Four Rooms,"Four Rooms has been cut substantially since a disastrous September reception at the Toronto Film Festival, though it's hard to imagine it running any longer.",rotten
Four Rooms,"The four segments are widely different in quality. On the useful scale of the Michelin guides, one is worth a trip, another is worth a detour, and the other two are a colossal waste of bandwidth.",rotten
Four Rooms,Four Rooms asserts itself as a goof so laboriously and aggressively that you almost feel pinned back in your seat.,rotten
Four Rooms,"The result is a batch of shrill, self-indulgent sketches that turn so wretched in spots you start to wonder if the filmmakers wanted them to be bad.",rotten
Four Rooms,The segments are uniformly weak.,rotten
Four Rooms,Four Rooms has to be one of 1995's major disappointments.,rotten
Ace Ventura: When Nature Calls,"There's so little to watch besides Carrey, in fact, it makes you actually miss (gasp!) Sean Young from Ace 1.",rotten
Money Train,Bounces along with a lame script and inconsistent pace.,rotten
Money Train,Hardly worth the four-year wait.,rotten
Money Train,"More viscerally charged than ""Speed"" and hipper than ""Die Hard With a Vengeance,"" the movie is a careening, screeching joyride that showers sparks like fireworks.",fresh
Money Train,"""Money Train"" is a by-the-numbers action-buddy picture, and few directors run through those numbers as smoothly as Joseph Ruben.",fresh
Money Train,"Even if they only charged a token, it would be too much.",rotten
Money Train,"It's stupid, but also breezier than the year's other 12-score releases not worth a second look.",rotten
Money Train,"A big, noisy headache of a movie...",rotten
Get Shorty,"Hollywood has been in love with mobsters since the beginning of movies. But the other side of the equation has seldom been considered. That is, until now.",fresh
Get Shorty,A drolly offbeat look at Hollywood mores dedicated to the proposition that the best preparation for becoming a film producer is a stint in the criminal underworld.,fresh
Get Shorty,An entertaining comedy-thriller adapted by Scott Frank from the Elmore Leonard best-seller and directed with bounce (if not much nuance) by Barry Sonnenfeld.,fresh
Get Shorty,Everything clicks.,fresh
Get Shorty,"It's part of the joke here that Chili is a die-hard cineaste and loves reminiscing about smart, stylish tough-guy films he has enjoyed. Get Shorty belongs on that list.",fresh
Get Shorty,"It's Travolta -- smooth, commanding, handsome as ever, a cool, rhythmic bop in his walk -- who owns the film.",fresh
Get Shorty,The result is one of the best movies of the year and by far the most entertaining.,fresh
Get Shorty,In the category of amiable diversions it's awfully tough to improve on.,fresh
Get Shorty,Irresistibly charming.,fresh
Get Shorty,"Minor, but amusingly droll.",fresh
Get Shorty,"One of the pleasures of Get Shorty is watching the way the plot moves effortlessly from crime to the movies - not a long distance, since both industries are based on fear, greed, creativity and intimidation.",fresh
Get Shorty,"This comic potboiler about gangsters in Hollywood would be a great piece of fun even without Travolta. But as a loan shark from Miami with a charming bedside manner and bigtime movie dreams, he raises the fun quotient into the sublime.",fresh
Get Shorty,"While it's quite possible for the cinematically unaware to enjoy this film, this is a real treat for movie buffs. The story is as much about the love of motion pictures as it is about gangsters.",fresh
Copycat,"Copycat, despite two tough-babe leads to kill for, flies in more directions than scattered kitty litter.",rotten
Ninja Assassin,A garish and poorly filmed chop-socky frolic that makes about as much sense as an Escher painting viewed through Vaseline-smudged Ray-Bans.,rotten
Ninja Assassin,Perhaps such phenomenal slaughter is best left to the imagination.,rotten
Ninja Assassin,"The problem is that the fight sequences -- the only reason anyone sees a movie like this in the first place -- are muddy, chaotic and boring. Even diehard fans of this genre would be well advised to skip this one.",rotten
Ninja Assassin,"This saga, set in Berlin, is more committed to its bloodletting than to any of its characters.",rotten
Ninja Assassin,A movie that provides plenty of jolts but precious little pleasure.,rotten
Ninja Assassin,This movie knows exactly what it is: Gonzo silliness about bodies turned into human salsa.,fresh
Ninja Assassin,"Shouldn't throwing stars be silent? If they're gonna sound like gunshots, why not just use guns?",rotten
Ninja Assassin,"It's a gorefest, a borefest and a snorefest.",rotten
Ninja Assassin,"Thanks to the movie's dire script, flat performances and excessively slick, tricked-out fight scenes, it gets increasingly hard to care about anything that goes on here, even when it happens to be visible without the use of night-vision goggles.",rotten
Ninja Assassin,"This one is simply a diverting, uncommonly violent action flick. No need for an extended critical postmortem. Except to say the Wachowski brothers' trademark seems to have turned into a designer brand dedicated to producing inexpensive knockoffs.",rotten
Ninja Assassin,"Rain is a very talented slaughterer. He could kill you with a pair of tweezers, a hair dryer, two bananas, whatever. Be glad he's a good ninja.",fresh
Ninja Assassin,"When a movie's first scene shows one thug getting the top of his head sliced off and another being chopped diagonally in half, you know you're not in for much of a dramatic crescendo.",rotten
Ninja Assassin,"What's a recovering ninja assassin to do? Why, paint the screen bright red, of course. Splatter it on. We're talking streaks and rivers of blood -- bloody swords, bloody clothes and, my personal favorite, bloody stumps.",fresh
Ninja Assassin,"Ninja Assassin lives in the moment, a visceral gouge of a picture, and sections of it move so fast -- and are so intriguingly, dimly lit -- that you have to use your imagination a bit to discern what's happening.",fresh
Ninja Assassin,"Heads may roll, torsos get severed and geysers of blood spurt, but no amount of CGI'd gore can save 'Assassin' from being dramatically lame, visually impaired and kinetically flat-footed.",rotten
Ninja Assassin,The credits for Ninja Assassin list two screenwriters and one director. But it's fair to say the movie has come straight out of a box.,rotten
Ninja Assassin,"This amateurish action flick is so lacking in personality or punch, it ought to be titled ""V for Video Store Discount Bin.""",rotten
Ninja Assassin,"Let's be honest, killing is this film's business... and business is good.",fresh
Ninja Assassin,"McTeigue can barely shoot straight, and the editing is so hack-y, you have to take the stunts and fight choreography on faith.",rotten
Powder,"Performed to the hilt by Flanery and filmed with conviction by Victor Salva, the movie is finally too solemn to survive its pushy musical strings.",rotten
Leaving Las Vegas,"Dark and giddy at the same time, Leaving Las Vegas takes us into dreamy, intoxicated places no movie about an alcoholic has gone before.",fresh
Leaving Las Vegas,"We're not talking high, morally instructive tragedy here, just a hard lesson in postmodernist outlawry and its sad little anarchies.",fresh
Leaving Las Vegas,"The film pulls no punches, takes no prisoners and flies in the face of feel-good pictures.",fresh
Leaving Las Vegas,"The plot goes nowhere, but under the pornographic circumstances Figgis, Cage, and Shue all do fine jobs.",fresh
Leaving Las Vegas,It certainly has the courage of its convictions.,rotten
Leaving Las Vegas,"Small, searing film.",fresh
Leaving Las Vegas,A uniquely hypnotic and haunting love story sparked by Nicolas Cage and Elisabeth Shue at their career best.,fresh
Leaving Las Vegas,A film laden with virtues but difficult to embrace.,fresh
Leaving Las Vegas,"Nicolas Cage, who has a track record of immersing himself in parts, gives one of the year's most powerful acting turns.",fresh
Leaving Las Vegas,"Tough to watch, but haunting enough to deserve its initial praise.",fresh
Leaving Las Vegas,"Cage, a resourceful and daring actor, has never been better.",fresh
Othello,A highly engaging attempt at Shakespeare's most domestic tragedy.,fresh
Othello,Mr. Branagh's superb performance...guarantees this film an immediacy that any audience will understand.,fresh
Othello,Davies has done an admirable job of condensing the sprawling action.,fresh
Othello,Parker has shown how involving and moving Shakespeare can still be on the screen.,fresh
Othello,"Parker, whose screenplay strips down the original play, merely produces a lackluster essence.",rotten
Othello,"For sheer impact, this Othello can stand side-by-side with the versions brought to the screen by Orson Welles (as restored in 1992) and Lawrence Olivier.",fresh
Othello,"The movie is roughly on the same cinematic level as the Mel Gibson Hamlet, though it tends to get under your skin a little more once it gets rolling.",fresh
Othello,"... Will not give its viewers much of an idea of the Shakespeare play, and may inadvertently give them other ideas, about interracial love, that were not much on Shakespeare's mind.",rotten
Othello,"Passion, like outpourings of iambic pentameter, isn't part of this picture's equation.",rotten
Othello,"The real question is, could director Oliver Parker have done worse?",rotten
Now and Then,"Now and Then is successful, but only now and then.",rotten
Persuasion,"The film offers the same pleasures as an Austen novel, as the audience sinks into a comforting, orderly world where life-shattering disruptions are handled with elegant ease.",fresh
Persuasion,Austen fans: Prepare to be swept away.,fresh
Persuasion,"Persuasion is Jane without pain, E-Z Austen. It's a delight.",fresh
Persuasion,"Michell's approach to Persuasion indicates that he is the rarest of literary translators -- one who is genuinely interested in a work's themes, its characters and what the author has to say about the world in which they exist.",fresh
Persuasion,"Much of the movie's emotional work has to be done by...faces and eyes, while other people speak of other things, and to see that happening is frustrating, because it happens so slowly, and romantic, because it happens at all.",fresh
Persuasion,"There's a wonderful, unhurried delicacy about Persuasion, Roger Mitchell's adaptation of Jane Austen's final novel.",fresh
Persuasion,Vanessa Redgrave has never been more likable on screen than in her buoyantly athletic turn here.,fresh
La cité des enfants perdus,Jeunet and Caro have distinctive signatures like nobody else's.,fresh
La cité des enfants perdus,"On visual terms alone, The City of Lost Children is something of a masterpiece, using state-of-the-art physical, optical and digital special effects to stretch cinematic boundaries.",fresh
La cité des enfants perdus,"Essentially, The City of Lost Children is a macabre fairy tale, and while its tentacled comic-book plot and freak-show cast narrow its appeal -- this isn't a work of any allegorical depth -- Caro and Jeunet have pulled off a cinematic delight.",fresh
La cité des enfants perdus,The City of Lost Children gets so caught up in its own weirdness that it all but shuts out the viewer.,rotten
La cité des enfants perdus,An empty triumph of overkill set design and weirdo casting.,rotten
La cité des enfants perdus,"Set in a wondrously seedy waterfront world populated with runaway children and grotesque, sinister adults, it glistens with dense fantasies, technological feats that make the catch-phrase ""state of the art"" seem antique.",fresh
La cité des enfants perdus,The emotions seem almost as manufactured as the sets.,rotten
La cité des enfants perdus,"With each frame filled to bursting point with visual detail and multiplaned design, plus razor-sharp cutting that often eliminates transitions, it's not a movie you can afford to take your eyes off for a second.",fresh
La cité des enfants perdus,Extraordinary.,fresh
La cité des enfants perdus,Watching the film is like leafing through a giant sketchbook crammed with intriguing ideas that can't all be comfortably fitted into the same master plan.,rotten
La cité des enfants perdus,"The City of Lost Children is a stunningly surreal fantasy, a fable of longing and danger, of heroic deeds and bravery, set in a brilliantly realized world of its own. It is one of the most audacious, original films of the year.",fresh
La cité des enfants perdus,The City of Lost Children is as visually striking and daringly offbeat as its predecessor.,fresh
La cité des enfants perdus,"Children hasn't enough of a human dimension to be 'fun' itself, but it's still warped enough to amuse anyone with a tilted frame of mind.",rotten
